file_path,file_name,file_size,sha256,first_50_bytes_hex,detected_type,signature_match,malware_rule_hits,risk_score,verdict
G:\Users\win10secu3\Documents\File\File036,File036,1417519,fc691fa2e54dafccb9744fe0249f946a87b4e69f2a49ace3c9cce22dd737b82e,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd69b0655976,PNG,PNG_SIGNATURE,,0,CLEAN
G:\Users\win10secu3\Documents\File\File037,File037,266343,7321f38d919d4fb46030f5692d2aaa8d74caee26fbbdf7e4b06ea71b68ed27fd,504b03040a000000000000002100ffffffff3502000035020000100000005b74726173685d2f303030302e646174ffffffff,ZIP,ZIP_PK_HEADER,,0,CLEAN
G:\Users\win10secu3\Documents\File\File038,File038,5125758,131694dfcd8c271b37e54ca9e5c1abbb9ac88526e15cbb9356084667282d36eb,43443030312e360a25f6e4fcdf0a312030206f626a0a3c3c0a2f4d657461646174612032203020520a2f4c616e672028656e,TXT,TXT_HEURISTIC,URL_PROTOCOL,1,CLEAN
G:\Users\win10secu3\Documents\File\File039,File039,608,abbc52db824b9a134dfd0ef0c646a8e2382a05e7af9a9f5865b77cc704844495,efbbbf3c230a2e53594e4f505349530a09496e7374616c6c7320446973636f72640a2e4445534352495054494f4e0a095468,PS1,PS1_UTF8_BOM,URL_PROTOCOL,1,CLEAN
G:\Users\win10secu3\Documents\File\File040,File040,168,0eefccda4460faab2f6a2243598f74a58c93c2ff01a60e4c7b87ff2ff048677e,406563686f206f66660d0a73657420696e7075743d68656c6c6f0d0a7365742072657665727365643d0d0a666f72202f6c20,BAT,BAT_ECHO_OFF,,0,CLEAN
G:\Users\win10secu3\Documents\File\File041,File041,1640375,d2c03ebbcb573163994d6eb247209a6cd9ffd5141b14511e4766a31b303c0b65,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfde992244b92,PNG,PNG_SIGNATURE,,0,CLEAN
G:\Users\win10secu3\Documents\File\File042,File042,11280,8b9d7b249fd8b32d14465b6d038060da3545114bcf0041ada1f7205b81d6887d,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000,EXE,PE_MZ_HEADER,URL_PROTOCOL,1,CLEAN
G:\Users\win10secu3\Documents\File\File043,File043,106799,13e84bab911c370a9c80081d6a711f6f334296996cac27348aaad72aa59dc5b7,504b03041400020008004a247659fb70553b11530000494e030011001100776f72642f646f63756d656e742e786d6c55540d,ZIP,OOXML_DOCX_HINT,,0,CLEAN
G:\Users\win10secu3\Documents\File\File044,File044,229,d6a99d5fa30152aa09b95e8198641cc9ee95c27051ceb5031b22bacb674a7073,406563686f206f66660d0a7365746c6f63616c20656e61626c6564656c61796564657870616e73696f6e0d0a73657420776f,BAT,BAT_ECHO_OFF,,0,CLEAN
G:\Users\win10secu3\Documents\File\File045,File045,137878,e3a4563c0f11178ce2eb4623899a43c9221b68e6e0b8ecaeebca23c4277d9496,ffd8ffe100104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f,JPEG,JPEG_GENERIC,,0,CLEAN
G:\Users\win10secu3\Documents\File\File046,File046,80947,2300646f4daccc0773f9cdc078f603814c2025828cb978137e3b38fb1a2a64a3,4d5a00010100000008001000ffff080000010000000000004000000000000000000000000000000000000000000000000000,EXE,PE_MZ_HEADER,,0,CLEAN
